var,term,PR,conf.low,conf.high,p.value
obesidad,No (REF),1,NA,NA,NA
obesidad,Yes,0.9932722107303689,0.8127327009113491,1.2139165601468878,0.9474049673685621
diab_hbp,No diabetes or HTN (REF),1,NA,NA,NA
diab_hbp,Diabetes no HTN,3.2980551096575765,2.516399057752929,4.322512946754734,6.654972623842702e-18
diab_hbp,HTN no diabetes,2.431027976451284,1.964658730975718,3.008103610622372,3.5627630753927045e-16
diab_hbp,Both diabetes & HTN,5.594454521747549,4.504457926572732,6.948210396476047,1.2270498186210456e-53
diab_dv,No (REF),1,NA,NA,NA
diab_dv,Yes,3.3472666803083073,2.4484026180622114,4.576124100851418,4.925820774001936e-14
diab_perd_vsn,No (REF),1,NA,NA,NA
diab_perd_vsn,Yes,6.099265338366935,4.568355219153474,8.143201630169587,1.1237858185807619e-33
hta_retina,No (REF),1,NA,NA,NA
hta_retina,Yes,3.4991145356917586,2.697956843471538,4.538175828689275,6.143341628296974e-21
cardio_dis,No CVD (REF),1,NA,NA,NA
cardio_dis,Yes CVD,2.8030471697737473,2.039953062722683,3.8515952055729863,2.1915147352498688e-10
kidney_dis,No (REF),1,NA,NA,NA
kidney_dis,Yes,5.553077316168015,3.7371607505007223,8.251362394622205,2.668875867554177e-17
dyslipidemia,No (REF),1,NA,NA,NA
dyslipidemia,Yes,1.5517234871289871,1.2793173187926787,1.882133341851483,8.275089290957215e-6
