var,contrast,PR,conf.low,conf.high,p value
obesidad,No (REF),1,NA,NA,NA
obesidad,Yes ,1.0784350815133656,0.8844974805157151,1.3148960292805218,0.45534187698294154
diab_hbp,No diabetes or HTN (REF),1,NA,NA,NA
diab_hbp,Diabetes no HTN ,1.84151094017675,1.3117730679585482,2.5851746964649664,6.452247019517188e-5
diab_hbp,HTN no diabetes ,1.3216892561975768,0.9879681973201248,1.768136357715247,0.06410104449100484
diab_hbp,Both diabetes & HTN ,2.6396512960355216,1.9880057155358661,3.504898859299231,2.731148640577885e-14
diab_dv,No (REF),1,NA,NA,NA
diab_dv,Yes ,3.091472662964786,2.2517204477578683,4.244400425183816,2.966643252101797e-12
diab_perd_vsn,No (REF),1,NA,NA,NA
diab_perd_vsn,Yes ,5.403756840236819,3.9968614480142524,7.305879467729321,5.678823675651452e-28
hta_retina,No (REF),1,NA,NA,NA
hta_retina,Yes ,3.120009472233174,2.373956983036914,4.100520429132546,3.3330045211865505e-16
cardio_dis,No CVD (REF),1,NA,NA,NA
cardio_dis,Yes CVD ,1.5733992457466452,1.1398655219997371,2.171822148083784,0.005851595367048936
kidney_dis,No (REF),1,NA,NA,NA
kidney_dis,Yes ,3.4244074264997812,2.3053237825809334,5.0867328534382,1.081664202475094e-9
dyslipidemia,No (REF),1,NA,NA,NA
dyslipidemia,Yes ,1.1942900288627045,0.9873499940270275,1.4446029084614909,0.06742444650406285
