var,contrast,PR,conf.low,conf.high,p value
obesidad,No (REF),1,NA,NA,NA
obesidad,Yes ,1.0243885324325814,0.8400656657403451,1.249154569904452,0.8118234733468074
diab_hbp,No diabetes or HTN (REF),1,NA,NA,NA
diab_hbp,Diabetes no HTN ,1.899769794552328,1.3477625472206536,2.6778643461610554,3.075160792775922e-5
diab_hbp,HTN no diabetes ,1.4220342973871882,1.0638096261477616,1.9008866748725923,0.011998033799850538
diab_hbp,Both diabetes & HTN ,2.7390945582524524,2.047165478647727,3.6648913228080278,2.4646951146678475e-14
diab_dv,No (REF),1,NA,NA,NA
diab_dv,Yes ,3.1780376706640054,2.3199958005375896,4.353423154394996,5.964532679493508e-13
diab_perd_vsn,No (REF),1,NA,NA,NA
diab_perd_vsn,Yes ,5.504491134696077,4.114835719783967,7.3634586445989285,1.501766316558934e-30
hta_retina,No (REF),1,NA,NA,NA
hta_retina,Yes ,3.239599307836835,2.472137470146659,4.245315562776647,1.5794923824765267e-17
cardio_dis,No CVD (REF),1,NA,NA,NA
cardio_dis,Yes CVD ,1.706980184456066,1.2463196439613102,2.337908548776848,8.619827338726667e-4
kidney_dis,No (REF),1,NA,NA,NA
kidney_dis,Yes ,3.459208023612532,2.380485846924554,5.026755427294322,7.598823502806317e-11
dyslipidemia,No (REF),1,NA,NA,NA
dyslipidemia,Yes ,1.1590987868332787,0.9571985688392339,1.403585464265385,0.13053772439103256
