var,term,PR,conf.low,conf.high,p.value
sexo,Men (REF),1,NA,NA,NA
sexo,Women,1.144717232122473,0.9714668973832722,1.34886484042611,0.10645965569153422
region,Center (REF),1,NA,NA,NA
region,North,1.107028858530543,0.8978101969840249,1.365002199503024,0.3413588806744985
region,Mexico City,1.205354762286559,0.8546194082929627,1.700031720399265,0.28702423705062596
region,South,1.279611291297611,1.0568141422170538,1.5493784492524714,0.011541705466079468
age_cat,20 - 39 yo (REF),1,NA,NA,NA
age_cat,40 - 59 yo,2.224708455703358,1.730202675988052,2.860547947107786,4.810404690364222e-10
age_cat,60+ yo,7.25841007574812,5.722466143282822,9.206610490752185,9.266394401330335e-59
urbanicity,Urban (REF),1,NA,NA,NA
urbanicity,Rural,1.252817732893509,1.06803863479967,1.4695650706931869,0.005639938558392317
education,More than high school education (REF),1,NA,NA,NA
education,High school education,1.0580113328227223,0.7019019997174486,1.5947924081024476,0.7876349427764331
education,Secondary school,1.4711661296598866,1.0394218992365212,2.082243776707225,0.02940413105330624
education,Elementary education or lower,4.110155197915297,3.001564578496351,5.628190001966559,1.546439504818142e-18
ses,High (REF),1,NA,NA,NA
ses,Middle high,1.707606013032109,0.9869371343545825,2.954512698167253,0.055751737640426055
ses,Middle low,1.7791755101179976,1.0527826678177894,3.006760647347113,0.031395431550044574
ses,Low,2.0299064892697487,1.1909695545038832,3.459803266672003,0.009267218317701258
insurance,No insurance (REF),1,NA,NA,NA
insurance,Insurance,1.426574918014023,1.1757079087993574,1.730970746624469,3.1948715966031977e-4
l_indigena,No (REF),1,NA,NA,NA
l_indigena,Yes,1.493024653017661,1.1786018837330408,1.8913278905155848,8.971023306735979e-4
work_pwk,Yes (REF),1,NA,NA,NA
work_pwk,No,2.930124244485986,2.4931779405962806,3.443648344678995,2.1290997839772638e-38
