var,contrast,PR,conf.low,conf.high,p value
sexo,Men (REF),1,NA,NA,NA
sexo,Women ,1.1030999911355759,0.9372393821670244,1.2983124840847304,0.2378782917761428
region,Center (REF),1,NA,NA,NA
region,North ,1.0669557240782068,0.8315251056318574,1.3690440726719968,0.8426870535240665
region,Mexico City ,1.0478174211661748,0.6926788978698242,1.585036517606844,0.9713622295681261
region,South ,1.2466350233224852,0.9941320068269668,1.563272151687951,0.058468761527313395
urbanicity,Urban (REF),1,NA,NA,NA
urbanicity,Rural ,1.2333110992190817,1.0562416376767017,1.4400646719463546,0.008003527001038012
education,More than high school education (REF),1,NA,NA,NA
education,High school education ,1.401620720546729,0.8443968569480226,2.326560820425769,0.27491462823037627
education,Secondary school ,1.582938972735157,1.0364440627212368,2.417589025330515,0.029271054431337484
education,Elementary education or lower ,2.282589316324927,1.5879730747379956,3.2810468073335226,2.405553196638266e-7
ses,High (REF),1,NA,NA,NA
ses,Middle high ,1.6392908899121506,0.8518737241829962,3.154545733085319,0.1865343215488846
ses,Middle low ,1.882162934888833,1.004469754762959,3.526773500816193,0.047874558324097594
ses,Low ,2.139253215541356,1.1322414404599002,4.041897917413411,0.013661653018292474
insurance,No insurance (REF),1,NA,NA,NA
insurance,Insurance ,1.1748621440483027,0.967079922688215,1.4272874714231676,0.10461851788827098
l_indigena,No (REF),1,NA,NA,NA
l_indigena,Yes ,1.2823837578538557,1.021773028310496,1.6094651716600645,0.03188965938426946
work_pwk,Yes (REF),1,NA,NA,NA
work_pwk,No ,1.8363332543725293,1.530028326536672,2.2039590788148593,6.677621300529763e-11
